id1,used,used2,id,id2,name,date_,nocollared,season,how_obtain,confidence,packid,pack,disthha,easting,northing,distacc,wolfwin,sheepwi,goatwin,elkwint,moosewi,deerwin,elevati,landcov,rowid_,value,count,habitattyp,AlpineHerb,AlpineShrub,BurnForest,BurnGrassland,BurnShrub,ClosedConifer,Cloud,Herbaceous,MixedForest,ModerateConifer,OpenConifer,RockIce,Shrub,Water,burn
837,0,0,0,0,0,,0,,0,0,0,Bow valley,466.69,589354,5669638,466.69,7,7,7,7,7,7,1402,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1280,0,0,0,0,0,,0,,0,0,0,Bow valley,331.36,589630,5730096,331.36,0,0,0,0,0,0,1701,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
682,0,0,0,0,0,,0,,0,0,0,Bow valley,1030.97,558894,5693358,1030.97,4,1,4,4,5,4,1677,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1000,0,0,0,0,0,,0,,0,0,0,Bow valley,2964.39,575323,5674620,2964.39,3,1,1,3,3,3,2190,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,,0,,0,0,0,Bow valley,0,601431,5659181,0,3,3,4,1,4,1,2021,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1003,0,0,0,0,0,,0,,0,0,0,Bow valley,379.47,580075,5673515,379.47,3,5,6,3,3,3,1646,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,,0,,0,0,0,Bow valley,1760.82,563961,5686615,1760.82,4,1,1,3,5,4,1704,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,1,1,23,966,44,2/19/02,1,winter,2,1,2,Bow valley,212.13,577500,5679200,212.13,4,1,1,4,4,4,1433,1,1,1,463198,Open Conifer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
453,0,0,0,0,0,,0,,0,0,0,Bow valley,872.07,580270,5680592,872.07,5,5,5,5,4,5,1834,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
992,0,0,0,0,0,,0,,0,0,0,Bow valley,2151.02,573186,5686607,2151.02,3,5,5,1,1,1,2507,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
