"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","pack","used"
,,,,,,1655.99288888885,123.435773028252,175.064076793703,"Red Deer",0
4,6,3,1,4,4,1901.57955555532,718.933697593073,646.111219524402,"Red Deer",0
5,5,3,4,1,5,2157.09377777733,2159.69058591541,11291.7535134973,"Red Deer",0
,,,,,,1822.68088889062,868.010228304371,653.040146114432,"Red Deer",0
,,,,,,1846.97999999969,291.650592199732,1575.52839338281,"Red Deer",0
4,3,4,5,5,4,1731.98666666624,17.4134404668584,85.9852034075063,"Red Deer",0
,,,,,,2652.60666666594,1398.99115214452,12001.6718933733,"Red Deer",0
,,,,,,2009.43377777701,1307.41344046686,2331.16733345508,"Red Deer",0
1,1,1,1,3,1,2344.7328888899,1426.82478251283,4576.7167246378,"Red Deer",0
1,1,1,1,4,1,2553.82666666723,552.47956550689,1841.53735618268,"Red Deer",0
3,3,3,1,1,3,2177.96666666686,3411.3907788307,3877.12748889101,"Red Deer",0
4,5,4,3,1,4,1574.78666666661,372.891788708124,0.722000134944273,"Red Deer",0
3,5,3,3,4,3,2103.32044444449,232.608315030201,1900.34281728344,"Red Deer",0
1,4,3,3,5,3,2181.96044444424,495.22884526723,493.103473568298,"Red Deer",0
3,5,3,3,4,3,2082.04133333309,68.7160453021703,7668.53588641326,"Red Deer",0
1,1,1,1,4,1,2252.04666666903,1347.52195648464,9016.23501403572,"Red Deer",0
1,1,1,1,4,1,2555.62000000105,920.532098040181,5028.96702306855,"Red Deer",0
1,1,1,1,4,1,2581.31377777769,1041.29249676635,2304.95128523076,"Red Deer",0
3,4,3,4,3,3,2044.78000000006,64.7275672957172,2010.7736885017,"Red Deer",0
,,,,,,2254.01333333335,291.215442225723,9726.58122077304,"Red Deer",0
4,4,4,4,3,4,2139.76666666697,1275.1787330858,2398.77392262079,"Red Deer",0
1,1,3,6,5,3,2462.79955555509,1817.74811384498,12974.3953375307,"Red Deer",0
1,3,3,3,6,3,2248.8066666664,459.697891249369,423.506861707489,"Red Deer",0
3,1,3,6,5,3,2308.51333333322,1301.66221857518,14699.7434084234,"Red Deer",0
4,5,4,1,4,4,1834.67911111091,710.315966641996,534.869314331212,"Red Deer",0
4,5,4,3,1,4,1702.80622222205,1722.43916688798,1644.78181976283,"Red Deer",0
4,4,4,3,1,4,1573.86666666692,222.586559533142,114.422960559772,"Red Deer",0
1,1,1,1,4,1,2958.39333333322,3145.79968413871,5857.10803599775,"Red Deer",0
1,1,1,1,4,1,2825.17333333277,1392.39618636248,5723.01663424942,"Red Deer",0
4,4,4,4,3,4,2150.48666666704,291.388985474653,276.122005798069,"Red Deer",0
,,,,,,2143.80666666599,441.598966735329,2560.61229993527,"Red Deer",0
3,3,3,5,6,3,2039.20711111146,2296.42366229695,2151.79461669359,"Red Deer",0
1,3,3,5,5,3,2454.38622222249,4269.91974763973,5251.06019710155,"Red Deer",0
,,,,,,1802.0933333334,151.3415898572,5748.29343784493,"Red Deer",0
3,4,5,5,4,4,2119.82622222236,2328.48354388855,10518.7190863526,"Red Deer",0
1,4,3,1,1,3,2359.4075555562,785.839424521445,960.468231449603,"Red Deer",0
1,3,3,3,6,3,2220.46666666605,507.497844973507,544.420849852772,"Red Deer",0
4,4,4,4,3,4,2138.08622222173,377.523318241083,1420.70946034861,"Red Deer",0
4,5,4,3,1,4,1691.12000000025,1002.50220485672,836.253240871206,"Red Deer",0
1,1,1,1,4,1,2434.1608888889,879.684033358004,4012.3915757799,"Red Deer",0
,,,,,,2135.37999999988,2238.49671282587,2319.80981839552,"Red Deer",0
4,3,3,5,6,4,2128.47955555614,2226.9990192609,6016.65622682872,"Red Deer",0
4,4,4,4,3,4,2093.62666666667,316.518954703627,8307.78483243846,"Red Deer",0
3,3,3,5,6,3,2267.95288888797,1755.73998918682,1657.85248331097,"Red Deer",0
3,4,3,4,3,3,2048.94666666629,77.2614999665345,1913.63530149832,"Red Deer",0
,,,,,,1649.84000000006,334.307804654858,198.168253566197,"Red Deer",0
,,,,,,2666.56088888799,1969.15694629872,6087.65131794165,"Red Deer",0
,,,,,,2284.36666666637,2077.59227733798,8639.47036869167,"Red Deer",0
3,5,4,1,1,4,1933.87333333346,20.3159666419961,1040.62460925717,"Red Deer",0
4,5,5,3,3,5,1947.89955555545,365.871808372913,889.98661275359,"Red Deer",0
,,,,,,2379.37955555501,960.170788184406,915.169326753555,"Red Deer",0
3,4,3,1,1,3,1756.88044444461,5.6210779452891,0,"Red Deer",0
1,1,1,1,4,1,2397.91288888905,1277.43084230873,1353.47774025028,"Red Deer",0
3,3,3,4,4,3,2253.89422222298,1687.4294995488,2115.47411159923,"Red Deer",0
